index,surah,ayah,transliteration
140,2,133,am kuntum shuhadaa idh hadara ya'quba al-mawtu idh qala libanihi ma ta'buduna min ba'di qalu na'budu ilahaka wa-ilaha abaika ib'rahima wa-is'ma'ila wa-is'haqa ilahan wahidan wanahnu lahu mus'limuna
141,2,134,til'ka ummatun qad khalat laha ma kasabat walakum ma kasabtum wala tus'aluna amma kanu ya'maluna
142,2,135,waqalu kunu hudan aw nasara tahtadu qul bal millata ib'rahima hanifan wama kana mina al-mush'rikina
143,2,136,qulu amanna bil-lahi wama unzila ilayna wama unzila ila ib'rahima wa-is'ma'ila wa-is'haqa waya'quba wal-asbati wama utiya musa wa'isa wama utiya an-nabiyuna min rabbihim la nufarriqu bayna ahadin min'hum wanahnu lahu mus'limuna
144,2,137,fa-in amanu bimith'li ma amantum bihi faqadi ih'tadaw wa-in tawallaw fa-innama hum fi shiqaqin fasayakfikahumu al-lahu wahuwa as-sami'u al-'alimu
145,2,138,sib'ghata al-lahi waman ahsanu mina al-lahi sib'ghatan wanahnu lahu abiduna
146,2,139,qul atuhajjunana fi al-lahi wahuwa rabbuna warabbukum walana a'maluna walakum a'malukum wanahnu lahu mukh'lisuna
147,2,140,am taquluna inna ib'rahima wa-is'ma'ila wa-is'haqa waya'quba wal-asbata kanu hudan aw nasara qul a-antum a'lamu ami al-lahu waman azlamu mimman katama shahadatan indahu mina al-lahi wama al-lahu bighafilin amma ta'maluna
148,2,141,til'ka ummatun qad khalat laha ma kasabat walakum ma kasabtum wala tus'aluna amma kanu ya'maluna
149,2,142,sayaqulu as-sufahau mina an-nasi ma wallahum an qib'latihimu allati kanu alayha qul lillahi al-mashriqu wal-maghribu yahdi man yashau ila siratin mus'taqimin
150,2,143,wakadhalika ja'alnakum ummatan wasatan litakunu shuhadaa ala an-nasi wayakuna ar-rasulu alaykum shahidan wama ja'alna al-qib'lata allati kunta alayha illa lina'lama man yattabi'u ar-rasula mimman yanqalibu ala aqibayhi wa-in kanat lakabiratan illa ala alladhina hada al-lahu wama kana al-lahu liyudi'a imanakum inna al-laha bil-nasi laraufun rahimun
151,2,144,qad nara taqalluba wajhika fi as-samai falanuwalliyannaka qib'latan tardaha fawalli wajhaka shatra al-masjidi al-harami wahaythu ma kuntum fawallu wujuhakum shatrahu wa-inna alladhina utu al-kitaba laya'lamuna annahu al-haqu min rabbihim wama al-lahu bighafilin amma ya'maluna
152,2,145,wala-in atayta alladhina utu al-kitaba bikulli ayatin ma tabi'u qib'lataka wama anta bitabi'in qib'latahum wama ba'duhum bitabi'in qib'lata ba'din wala-ini ittaba'ta ahwaahum min ba'di ma jaaka mina al-'il'mi innaka idhan lamina az-zalimina
153,2,146,alladhina ataynahumu al-kitaba ya'rifunahu kama ya'rifuna abnaahum wa-inna fariqan min'hum layaktumuna al-haqa wahum ya'lamuna
154,2,147,al-haqu min rabbika fala takunanna mina al-mum'tarina
155,2,148,walikullin wij'hatun huwa muwalliha fa-is'tabiqu al-khayrati ayna ma takunu yati bikumu al-lahu jami'an inna al-laha ala kulli shayin qadirun
156,2,149,wamin haythu kharajta fawalli wajhaka shatra al-masjidi al-harami wa-innahu lalhaqqu min rabbika wama al-lahu bighafilin amma ta'maluna
157,2,150,wamin haythu kharajta fawalli wajhaka shatra al-masjidi al-harami wahaythu ma kuntum fawallu wujuhakum shatrahu li-alla yakuna lilnnasi alaykum hujjatun illa alladhina zalamu min'hum fala takhshawhum wa-ikh'shawni wali-utimma ni'mati alaykum wala'allakum tahtaduna
158,2,151,kama arsalna fikum rasulan minkum yatlu alaykum ayatina wayuzakkikum wayu'allimukumu al-kitaba wal-hik'mata wayu'allimukum ma lam takunu ta'lamuna
159,2,152,fa-udh'kuruni adhkur'kum wa-ush'kuru li wala takfuruni
160,2,153,yaayyuha alladhina amanu is'ta'inu bil-sabri was-salati inna al-laha ma'a as-sabirina
161,2,154,wala taqulu liman yuq'talu fi sabili al-lahi amwatun bal ahyaon walakin la tash'uruna
162,2,155,walanabluwannakum bishayin mina al-khawfi wal-ju'i wanaqsin mina al-amwali wal-anfusi wat-thamarati wabashiri as-sabirina
163,2,156,alladhina idha asabathum musibatun qalu inna lillahi wa-inna ilayhi raji'una
164,2,157,ulaika alayhim salawatun min rabbihim warahmatun wa-ulaika humu al-muh'taduna
